"Statistic Label","Quarter","Economic Sector NACE Rev 2","Type of Employee","UNIT","VALUE"
"Average Weekly Earnings","2012Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q2","Transportation and storage (H)","All employees","Euro","709.08"
"Average Weekly Earnings","2012Q2","Transportation and storage (H)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q2","Transportation and storage (H)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q2","Transportation and storage (H)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q2","Accommodation and food service activities (I)","All employees","Euro","312.35"
"Average Weekly Earnings","2012Q2","Accommodation and food service activities (I)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q2","Accommodation and food service activities (I)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q2","Accommodation and food service activities (I)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q2","Information and communication (J)","All employees","Euro","979.04"
"Average Weekly Earnings","2012Q2","Information and communication (J)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q2","Information and communication (J)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q2","Information and communication (J)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q2","Financial and insurance activities (K)","All employees","Euro","1020.11"
"Average Weekly Earnings","2012Q2","Financial and insurance activities (K)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q2","Financial and insurance activities (K)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q2","Financial and insurance activities (K)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q2","Real estate activities (L)","All employees","Euro","624.83"
"Average Weekly Earnings","2012Q2","Real estate activities (L)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q2","Real estate activities (L)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q2","Real estate activities (L)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q2","Professional, scientific and technical activities (M)","All employees","Euro","812.78"
"Average Weekly Earnings","2012Q2","Professional, scientific and technical activities (M)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q2","Professional, scientific and technical activities (M)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q2","Professional, scientific and technical activities (M)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q2","Administrative and support service activities (N)","All employees","Euro","485.13"
"Average Weekly Earnings","2012Q2","Administrative and support service activities (N)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q2","Administrative and support service activities (N)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q2","Administrative and support service activities (N)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q2","Public administration and defence; compulsory social security (O)","All employees","Euro","928.84"
"Average Weekly Earnings","2012Q2","Public administration and defence; compulsory social security (O)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q2","Public administration and defence; compulsory social security (O)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q2","Public administration and defence; compulsory social security (O)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q2","Education (P)","All employees","Euro","819.31"
"Average Weekly Earnings","2012Q2","Education (P)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q2","Education (P)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q2","Education (P)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q2","Human health and social work activities (Q)","All employees","Euro","713.16"
"Average Weekly Earnings","2012Q2","Human health and social work activities (Q)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q2","Human health and social work activities (Q)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q2","Human health and social work activities (Q)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q2","Arts, entertainment and recreation (R)","All employees","Euro","444.74"
"Average Weekly Earnings","2012Q2","Arts, entertainment and recreation (R)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q2","Arts, entertainment and recreation (R)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q2","Arts, entertainment and recreation (R)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q2","Other service activities (S)","All employees","Euro","491.73"
"Average Weekly Earnings","2012Q2","Other service activities (S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q2","Other service activities (S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q2","Other service activities (S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q2","Industry (B to E)","All employees","Euro","813.77"
"Average Weekly Earnings","2012Q2","Industry (B to E)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q2","Industry (B to E)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q2","Industry (B to E)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q2","Electricity, water supply and waste management (D,E)","All employees","Euro","1174.76"
"Average Weekly Earnings","2012Q2","Electricity, water supply and waste management (D,E)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q2","Electricity, water supply and waste management (D,E)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q2","Electricity, water supply and waste management (D,E)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q2","Financial, insurance and real estate activities (K,L)","All employees","Euro","971.36"
"Average Weekly Earnings","2012Q2","Financial, insurance and real estate activities (K,L)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q2","Financial, insurance and real estate activities (K,L)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q2","Financial, insurance and real estate activities (K,L)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q2","Arts, entertainment, recreation and other service activities (R,S)","All employees","Euro","466.63"
"Average Weekly Earnings","2012Q2","Arts, entertainment, recreation and other service activities (R,S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q2","Arts, entertainment, recreation and other service activities (R,S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q2","Arts, entertainment, recreation and other service activities (R,S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q3","All NACE economic sectors","All employees","Euro","692.13"
"Average Weekly Earnings","2012Q3","All NACE economic sectors","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q3","All NACE economic sectors","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q3","All NACE economic sectors","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q3","Mining and quarrying (B)","All employees","Euro","910.46"
"Average Weekly Earnings","2012Q3","Mining and quarrying (B)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q3","Mining and quarrying (B)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q3","Mining and quarrying (B)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q3","Manufacturing (C)","All employees","Euro","786.18"
"Average Weekly Earnings","2012Q3","Manufacturing (C)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q3","Manufacturing (C)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q3","Manufacturing (C)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q3","Construction (F)","All employees","Euro","712.93"
"Average Weekly Earnings","2012Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","All employees","Euro","510.48"
"Average Weekly Earnings","2012Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q3","Transportation and storage (H)","All employees","Euro","754.9"
"Average Weekly Earnings","2012Q3","Transportation and storage (H)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q3","Transportation and storage (H)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q3","Transportation and storage (H)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q3","Accommodation and food service activities (I)","All employees","Euro","323.06"
"Average Weekly Earnings","2012Q3","Accommodation and food service activities (I)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q3","Accommodation and food service activities (I)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q3","Accommodation and food service activities (I)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q3","Information and communication (J)","All employees","Euro","987.95"
"Average Weekly Earnings","2012Q3","Information and communication (J)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q3","Information and communication (J)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q3","Information and communication (J)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q3","Financial and insurance activities (K)","All employees","Euro","1018.92"
"Average Weekly Earnings","2012Q3","Financial and insurance activities (K)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q3","Financial and insurance activities (K)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q3","Financial and insurance activities (K)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q3","Real estate activities (L)","All employees","Euro","581.38"
"Average Weekly Earnings","2012Q3","Real estate activities (L)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q3","Real estate activities (L)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q3","Real estate activities (L)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q3","Professional, scientific and technical activities (M)","All employees","Euro","772.5"
"Average Weekly Earnings","2012Q3","Professional, scientific and technical activities (M)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q3","Professional, scientific and technical activities (M)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q3","Professional, scientific and technical activities (M)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q3","Administrative and support service activities (N)","All employees","Euro","494.72"
"Average Weekly Earnings","2012Q3","Administrative and support service activities (N)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q3","Administrative and support service activities (N)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q3","Administrative and support service activities (N)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q3","Public administration and defence; compulsory social security (O)","All employees","Euro","909.49"
"Average Weekly Earnings","2012Q3","Public administration and defence; compulsory social security (O)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q3","Public administration and defence; compulsory social security (O)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q3","Public administration and defence; compulsory social security (O)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q3","Education (P)","All employees","Euro","879.88"
"Average Weekly Earnings","2012Q3","Education (P)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q3","Education (P)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q3","Education (P)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q3","Human health and social work activities (Q)","All employees","Euro","705.34"
"Average Weekly Earnings","2012Q3","Human health and social work activities (Q)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q3","Human health and social work activities (Q)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q3","Human health and social work activities (Q)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q3","Arts, entertainment and recreation (R)","All employees","Euro","463.66"
"Average Weekly Earnings","2012Q3","Arts, entertainment and recreation (R)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q3","Arts, entertainment and recreation (R)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q3","Arts, entertainment and recreation (R)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q3","Other service activities (S)","All employees","Euro","446.23"
"Average Weekly Earnings","2012Q3","Other service activities (S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q3","Other service activities (S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q3","Other service activities (S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q3","Industry (B to E)","All employees","Euro","808.25"
"Average Weekly Earnings","2012Q3","Industry (B to E)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q3","Industry (B to E)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q3","Industry (B to E)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q3","Electricity, water supply and waste management (D,E)","All employees","Euro","1087.1"
"Average Weekly Earnings","2012Q3","Electricity, water supply and waste management (D,E)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q3","Electricity, water supply and waste management (D,E)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q3","Electricity, water supply and waste management (D,E)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q3","Financial, insurance and real estate activities (K,L)","All employees","Euro","972.24"
"Average Weekly Earnings","2012Q3","Financial, insurance and real estate activities (K,L)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q3","Financial, insurance and real estate activities (K,L)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q3","Financial, insurance and real estate activities (K,L)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q3","Arts, entertainment, recreation and other service activities (R,S)","All employees","Euro","454.93"
"Average Weekly Earnings","2012Q3","Arts, entertainment, recreation and other service activities (R,S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q3","Arts, entertainment, recreation and other service activities (R,S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q3","Arts, entertainment, recreation and other service activities (R,S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q4","All NACE economic sectors","All employees","Euro","691.84"
"Average Weekly Earnings","2012Q4","All NACE economic sectors","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q4","All NACE economic sectors","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q4","All NACE economic sectors","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q4","Mining and quarrying (B)","All employees","Euro","883.08"
"Average Weekly Earnings","2012Q4","Mining and quarrying (B)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q4","Mining and quarrying (B)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q4","Mining and quarrying (B)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q4","Manufacturing (C)","All employees","Euro","792.96"
"Average Weekly Earnings","2012Q4","Manufacturing (C)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q4","Manufacturing (C)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q4","Manufacturing (C)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q4","Construction (F)","All employees","Euro","704.06"
"Average Weekly Earnings","2012Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q4","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","All employees","Euro","519.38"
"Average Weekly Earnings","2012Q4","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q4","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q4","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q4","Transportation and storage (H)","All employees","Euro","718.79"
"Average Weekly Earnings","2012Q4","Transportation and storage (H)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q4","Transportation and storage (H)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q4","Transportation and storage (H)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q4","Accommodation and food service activities (I)","All employees","Euro","319.68"
"Average Weekly Earnings","2012Q4","Accommodation and food service activities (I)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q4","Accommodation and food service activities (I)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q4","Accommodation and food service activities (I)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q4","Information and communication (J)","All employees","Euro","994.78"
"Average Weekly Earnings","2012Q4","Information and communication (J)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q4","Information and communication (J)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q4","Information and communication (J)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q4","Financial and insurance activities (K)","All employees","Euro","1007.15"
"Average Weekly Earnings","2012Q4","Financial and insurance activities (K)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q4","Financial and insurance activities (K)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q4","Financial and insurance activities (K)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q4","Real estate activities (L)","All employees","Euro","682.99"
"Average Weekly Earnings","2012Q4","Real estate activities (L)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q4","Real estate activities (L)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q4","Real estate activities (L)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q4","Professional, scientific and technical activities (M)","All employees","Euro","790.61"
"Average Weekly Earnings","2012Q4","Professional, scientific and technical activities (M)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q4","Professional, scientific and technical activities (M)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q4","Professional, scientific and technical activities (M)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q4","Administrative and support service activities (N)","All employees","Euro","516.59"
"Average Weekly Earnings","2012Q4","Administrative and support service activities (N)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q4","Administrative and support service activities (N)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q4","Administrative and support service activities (N)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q4","Public administration and defence; compulsory social security (O)","All employees","Euro","926.43"
"Average Weekly Earnings","2012Q4","Public administration and defence; compulsory social security (O)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q4","Public administration and defence; compulsory social security (O)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q4","Public administration and defence; compulsory social security (O)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q4","Education (P)","All employees","Euro","828.13"
"Average Weekly Earnings","2012Q4","Education (P)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q4","Education (P)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q4","Education (P)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q4","Human health and social work activities (Q)","All employees","Euro","695.19"
"Average Weekly Earnings","2012Q4","Human health and social work activities (Q)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q4","Human health and social work activities (Q)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q4","Human health and social work activities (Q)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q4","Arts, entertainment and recreation (R)","All employees","Euro","459.44"
"Average Weekly Earnings","2012Q4","Arts, entertainment and recreation (R)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q4","Arts, entertainment and recreation (R)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q4","Arts, entertainment and recreation (R)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q4","Other service activities (S)","All employees","Euro","457.56"
"Average Weekly Earnings","2012Q4","Other service activities (S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q4","Other service activities (S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q4","Other service activities (S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q4","Industry (B to E)","All employees","Euro","815.29"
"Average Weekly Earnings","2012Q4","Industry (B to E)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q4","Industry (B to E)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q4","Industry (B to E)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q4","Electricity, water supply and waste management (D,E)","All employees","Euro","1150.94"
"Average Weekly Earnings","2012Q4","Electricity, water supply and waste management (D,E)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q4","Electricity, water supply and waste management (D,E)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q4","Electricity, water supply and waste management (D,E)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q4","Financial, insurance and real estate activities (K,L)","All employees","Euro","975.22"
"Average Weekly Earnings","2012Q4","Financial, insurance and real estate activities (K,L)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q4","Financial, insurance and real estate activities (K,L)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q4","Financial, insurance and real estate activities (K,L)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q4","Arts, entertainment, recreation and other service activities (R,S)","All employees","Euro","458.52"
"Average Weekly Earnings","2012Q4","Arts, entertainment, recreation and other service activities (R,S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q4","Arts, entertainment, recreation and other service activities (R,S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q4","Arts, entertainment, recreation and other service activities (R,S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q1","All NACE economic sectors","All employees","Euro","693.21"
"Average Weekly Earnings","2013Q1","All NACE economic sectors","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q1","All NACE economic sectors","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q1","All NACE economic sectors","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q1","Mining and quarrying (B)","All employees","Euro","921.41"
"Average Weekly Earnings","2013Q1","Mining and quarrying (B)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q1","Mining and quarrying (B)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q1","Mining and quarrying (B)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q1","Manufacturing (C)","All employees","Euro","802.34"
"Average Weekly Earnings","2013Q1","Manufacturing (C)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q1","Manufacturing (C)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q1","Manufacturing (C)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q1","Construction (F)","All employees","Euro","639.34"
"Average Weekly Earnings","2013Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q1","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","All employees","Euro","518.22"
"Average Weekly Earnings","2013Q1","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q1","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q1","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q1","Transportation and storage (H)","All employees","Euro","722.59"
"Average Weekly Earnings","2013Q1","Transportation and storage (H)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q1","Transportation and storage (H)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q1","Transportation and storage (H)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q1","Accommodation and food service activities (I)","All employees","Euro","292.89"
"Average Weekly Earnings","2013Q1","Accommodation and food service activities (I)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q1","Accommodation and food service activities (I)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q1","Accommodation and food service activities (I)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q1","Information and communication (J)","All employees","Euro","1038.69"
"Average Weekly Earnings","2013Q1","Information and communication (J)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q1","Information and communication (J)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q1","Information and communication (J)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q1","Financial and insurance activities (K)","All employees","Euro","1102.05"
"Average Weekly Earnings","2013Q1","Financial and insurance activities (K)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q1","Financial and insurance activities (K)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q1","Financial and insurance activities (K)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q1","Real estate activities (L)","All employees","Euro","597.27"
"Average Weekly Earnings","2013Q1","Real estate activities (L)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q1","Real estate activities (L)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q1","Real estate activities (L)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q1","Professional, scientific and technical activities (M)","All employees","Euro","826.33"
"Average Weekly Earnings","2013Q1","Professional, scientific and technical activities (M)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q1","Professional, scientific and technical activities (M)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q1","Professional, scientific and technical activities (M)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q1","Administrative and support service activities (N)","All employees","Euro","504.17"
