"Statistic Label","Quarter","Economic Sector NACE Rev 2","Type of Employee","UNIT","VALUE"
"Average Weekly Earnings","2008Q1","Arts, entertainment and recreation (R)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2008Q1","Arts, entertainment and recreation (R)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2008Q1","Arts, entertainment and recreation (R)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2008Q1","Other service activities (S)","All employees","Euro","514.32"
"Average Weekly Earnings","2008Q1","Other service activities (S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2008Q1","Other service activities (S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2008Q1","Other service activities (S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2008Q1","Industry (B to E)","All employees","Euro","799.99"
"Average Weekly Earnings","2008Q1","Industry (B to E)","Managers, professionals and associated professionals","Euro","1283.99"
"Average Weekly Earnings","2008Q1","Industry (B to E)","Clerical, sales and service employees","Euro","761.35"
"Average Weekly Earnings","2008Q1","Industry (B to E)","Production, transport, craft and other manual workers","Euro","632.47"
"Average Weekly Earnings","2008Q1","Electricity, water supply and waste management (D,E)","All employees","Euro","1145.19"
"Average Weekly Earnings","2008Q1","Electricity, water supply and waste management (D,E)","Managers, professionals and associated professionals","Euro","1824.94"
"Average Weekly Earnings","2008Q1","Electricity, water supply and waste management (D,E)","Clerical, sales and service employees","Euro","886.91"
"Average Weekly Earnings","2008Q1","Electricity, water supply and waste management (D,E)","Production, transport, craft and other manual workers","Euro","992.39"
"Average Weekly Earnings","2008Q1","Financial, insurance and real estate activities (K,L)","All employees","Euro","1123.32"
"Average Weekly Earnings","2008Q1","Financial, insurance and real estate activities (K,L)","Managers, professionals and associated professionals","Euro","1653.48"
"Average Weekly Earnings","2008Q1","Financial, insurance and real estate activities (K,L)","Clerical, sales and service employees","Euro","656.01"
"Average Weekly Earnings","2008Q1","Financial, insurance and real estate activities (K,L)","Production, transport, craft and other manual workers","Euro","514.21"
"Average Weekly Earnings","2008Q1","Arts, entertainment, recreation and other service activities (R,S)","All employees","Euro","484.65"
"Average Weekly Earnings","2008Q1","Arts, entertainment, recreation and other service activities (R,S)","Managers, professionals and associated professionals","Euro","913.64"
